supplier,city,country,cat,score,votes,comment
Octopus Energy Germany,München, Deutschland,Stromversorgungsunternehmen Energieversorger Energieanbieter Gasversorgungsunternehmen Ökostromanbieter,4.8,8392,https://de.trustpilot.com/review/octopusenergy.de
Ostrom,Berlin, Deutschland,Ökostromanbieter Stromversorgungsunternehmen Energieanbieter Solarenergieunternehmen Energieversorger,4.8,1607,https://de.trustpilot.com/review/ostrom.de
Rabot Charge,Hamburg, Deutschland,Ökostromanbieter Energieanbieter Energieversorger Stromversorgungsunternehmen,4.3,176,https://de.trustpilot.com/review/rabot-charge.de
MONTANA Group,Grünwald, Deutschland,Kraftstofflieferant Energieanbieter Stromversorgungsunternehmen Ökostromanbieter Gasversorgungsunternehmen Mineralölunternehmen,4.0,3153,https://de.trustpilot.com/review/montana-energie.de
E.ON Energie Deutschland GmbH,München, Deutschland,Solartechnikanbieter Energieanbieter Stromversorgungsunternehmen Energieversorger Gasversorgungsunternehmen Ökostromanbieter,3.7,13467,https://de.trustpilot.com/review/eon.de
Grünwelt Energie,Kaarst, Deutschland,Stromversorgungsunternehmen,3.6,1966,https://de.trustpilot.com/review/www.gruenwelt.de
RheinEnergie,Köln, Deutschland,Stromversorgungsunternehmen Energieanbieter Ökostromanbieter Gasversorgungsunternehmen Wasserversorgungsunternehmen Energieversorger,3.4,547,https://de.trustpilot.com/review/rheinenergie.com
badenova,Freiburg im Breisgau, Deutschland,Stromversorgungsunternehmen Ökostromanbieter Gasversorgungsunternehmen Energieanbieter Energieversorger,2.8,242,https://de.trustpilot.com/review/www.badenova.de
pricewise.de,Heidelberg, Deutschland,Gasversorgungsunternehmen Stromversorgungsunternehmen,4.8,119,https://de.trustpilot.com/review/www.prizewize.de
DFM-Select GmbH,Metzingen, Deutschland,Anbieter von Elektronikbauteilen Technischer Kundendienst Elektronikunternehmen Energieanlagen und -lösungen Energieanbieter Stromversorgungsunternehmen,4.6,22,https://de.trustpilot.com/review/dfm-select.de
Vattenfall Europe Sales GmbH,,,Stromversorgungsunternehmen Gasversorgungsunternehmen Energieversorger Energieanbieter,4.4,10260,https://de.trustpilot.com/review/www.vattenfall.de
