supplier,city,country,cat,score,votes,comment
Octopus Energy Germany,München, Deutschland,Ökostromanbieter Energieanbieter Stromversorgungsunternehmen Energieversorger Gasversorgungsunternehmen,4.8,8042,https://de.trustpilot.com/review/octopusenergy.de
Ostrom,Berlin, Deutschland,Energieanbieter Ökostromanbieter Stromversorgungsunternehmen Solarenergieunternehmen Energieversorger,4.8,1598,https://de.trustpilot.com/review/ostrom.de
Rabot Charge,Hamburg, Deutschland,Energieversorger Energieanbieter Stromversorgungsunternehmen Ökostromanbieter,4.3,174,https://de.trustpilot.com/review/rabot-charge.de
MONTANA Group,Grünwald, Deutschland,Energieanbieter Mineralölunternehmen Kraftstofflieferant Ökostromanbieter Gasversorgungsunternehmen Stromversorgungsunternehmen,4.0,3146,https://de.trustpilot.com/review/montana-energie.de
E.ON Energie Deutschland GmbH,München, Deutschland,Energieversorger Stromversorgungsunternehmen Ökostromanbieter Energieanbieter Gasversorgungsunternehmen Solartechnikanbieter,3.7,13223,https://de.trustpilot.com/review/eon.de
Grünwelt Energie,Kaarst, Deutschland,Stromversorgungsunternehmen,3.6,1964,https://de.trustpilot.com/review/www.gruenwelt.de
RheinEnergie,Köln, Deutschland,Ökostromanbieter Energieanbieter Gasversorgungsunternehmen Energieversorger Stromversorgungsunternehmen Wasserversorgungsunternehmen,3.4,528,https://de.trustpilot.com/review/rheinenergie.com
badenova,Freiburg im Breisgau, Deutschland,Stromversorgungsunternehmen Energieanbieter Gasversorgungsunternehmen Ökostromanbieter Energieversorger,2.7,241,https://de.trustpilot.com/review/www.badenova.de
pricewise.de,Heidelberg, Deutschland,Gasversorgungsunternehmen Stromversorgungsunternehmen,4.8,119,https://de.trustpilot.com/review/www.prizewize.de
DFM-Select GmbH,Metzingen, Deutschland,Anbieter von Elektronikbauteilen Technischer Kundendienst Elektronikunternehmen Energieanlagen und -lösungen Energieanbieter Stromversorgungsunternehmen,4.6,22,https://de.trustpilot.com/review/dfm-select.de
Vattenfall Europe Sales GmbH,,,Stromversorgungsunternehmen Gasversorgungsunternehmen Energieversorger Energieanbieter,4.4,10204,https://de.trustpilot.com/review/www.vattenfall.de
