supplier,city,eco,gas,telco,energy_solutions,num_votes,score
Octopus Energy Germany,München,1,1,0,0,8042,4.8
Ostrom,Berlin,1,0,0,0,1598,4.8
Rabot Charge,Hamburg,1,0,0,0,174,4.3
MONTANA Group,Grünwald,1,1,0,0,3146,4.0
E.ON Energie Deutschland GmbH,München,1,1,0,1,13223,3.7
Grünwelt Energie,Kaarst,0,0,0,0,1964,3.6
RheinEnergie,Köln,1,1,0,0,528,3.4
badenova,Freiburg im Breisgau,1,1,0,0,241,2.7
pricewise.de,Heidelberg,0,1,0,0,119,4.8
DFM-Select GmbH,Metzingen,0,0,0,1,22,4.6
Vattenfall Europe Sales GmbH,Berlin,0,1,0,0,10204,4.4
Erdgas Südwest GmbH,Ettlingen,1,1,0,1,46,4.4
Zenstrom,Berlin,1,0,0,0,89,4.0
VeganStrom,Berlin,1,0,0,0,30,4.0
Fair Trade Power Deutschland GmbH,München,1,0,0,0,3,4.0
Lekker Energie GmbH,Berlin,1,1,0,0,223,3.9
Paketsparer,Berlin,0,1,1,0,49,3.7
NEW Energie,Mönchengladbach,0,0,0,0,615,3.6
SWK ENERGIE GmbH,Krefeld,1,1,0,0,137,3.5
nowenergy,Berlin,0,1,1,0,81,3.4
1KOMMA5°,Hamburg,0,0,0,1,16,3.3
CHONO MEDIA,Dresden,0,0,1,0,39,3.2
Fresh Energy,Berlin,0,0,0,0,68,3.1
Polarstern Energie,München,1,1,0,0,32,3.1
Primastrom,Berlin,0,1,1,0,125,2.8
eprimo GmbH,Neu-Isenburg,0,1,0,0,8786,2.6
voxenergie,Berlin,0,1,1,0,130,2.4
Lition Energie,Berlin,0,0,0,0,125,1.9
Oekostrom,Düsseldorf,0,1,0,0,44,1.7
MEP Werke,Eckernförde,0,0,0,0,961,1.5
LichtBlick,Hamburg,1,0,0,0,1708,1.3
RWE,Essen,0,0,0,0,90,1.3
EWE,Oldenburg,0,0,0,0,2228,1.2
