words,count
einfach,300
gut,230
schnell,161
wechsel,144
app,144
service,135
schnelle,132
gute,119
einfache,115
zählerstand,110
online,101
super,98
zufrieden,93
eingabe,93
übersichtlich,83
unkompliziert,77
immer,70
kundenservice,69
abschlag,59
leicht,55
geht,50
funktioniert,49
leider,47
top,44
portal,43
guter,43
schneller,41
beratung,40
bedienung,39
problemlos,39
strom,39
einfacher,38
vertrag,36
übersichtliche,35
probleme,34
bisher,34
finde,33
ok,33
mitarbeiter,32
rechnung,32
kommunikation,32
bearbeitung,31
unkomplizierte,31
abrechnung,30
reibungslos,30
handhabung,30
nie,29
schlechter,29
abwicklung,29
geklappt,28
zählerstände,28
telefon,28
ganz,27
zählerstandes,27
erfahrung,27
ging,27
kunde,26
monaten,26
warte,26
lange,25
änderung,24
kunden,24
möglich,23
verständlich,22
unternehmen,22
preise,22
perfekt,21
konnte,21
unkomplizierter,21
schlecht,21
seite,20
erfahrungen,20
übersicht,20
zählerstandseingabe,20
digitale,19
abschlagszahlung,19
erreichbarkeit,19
verträge,19
freundlich,19
katastrophe,19
kontakt,19
gemacht,19
stern,18
preis,18
tarifwechsel,18
eingeben,18
internet,18
übermittlung,17
onlineportal,17
fragen,17
bedienen,17
problemloser,17
sterne,17
jahren,17
gutes,17
informationen,17
hilfe,16
absolut,16
antwort,16
schön,15
ja,15
telefonische,15
schlechte,15
läuft,15
klappt,15
klare,15
zeit,15
falsche,15
erst,15
daten,15
leichte,15
abschläge,14
website,14
anbieter,14
lief,14
kündigung,14
tarif,14
neuer,14
sofort,14
beim,14
gelaufen,14
anpassung,13
hotline,13
serviceportal,13
bewertung,13
problemlose,13
wurden,13
eigentlich,13
bestens,13
praktisch,13
änderungen,13
zähler,12
empfehlen,12
telefonisch,12
transparenz,12
neuen,12
kundenportal,12
jahr,12
zugang,12
erreichbar,12
teuer,12
gibt,12
verbrauch,12
kompetent,11
lässt,11
fast,11
reaktion,11
erledigt,11
ablesen,11
empfehlung,11
anfrage,11
neukunde,11
aufgebaut,11
ab,11
zählerstandeingabe,11
wegen,11
einloggen,11
freundliche,11
prima,11
abschlagsänderung,11
soweit,11
kompetente,10
anbieterwechsel,10
e,10
abschlagszahlungen,10
zuverlässig,10
okay,10
gewechselt,10
angebot,10
