words,count
kundenservice,52
service,31
schlechter,25
nie,25
rechnung,23
warte,22
monaten,22
abschlag,21
leider,20
einfach,19
zählerstand,18
stern,17
vertrag,15
abrechnung,15
telefon,14
katastrophe,14
schlecht,14
mitarbeiter,13
falsche,13
immer,12
antwort,11
kommunikation,11
app,10
geht,10
schlechte,10
schlechtester,9
unternehmen,9
funktioniert,9
kunden,8
chaos,8
gibt,8
möglich,8
monate,8
kündigung,8
inkompetenz,7
sterne,7
empfehlen,7
jahr,7
verträge,7
wochen,7
guthaben,7
frechheit,7
abschläge,7
erreichbarkeit,7
unterirdisch,7
absolut,6
mehrfach,6
teuer,6
unzufrieden,6
mangelhaft,6
fragen,6
erstellt,6
überhaupt,6
neuer,6
gekündigt,6
wegen,6
antworten,6
lange,6
strom,6
hoch,5
konnte,5
kontakt,5
erreichbar,5
katastrophaler,5
falsch,5
trotz,5
jahresabrechnung,5
unseriös,5
preise,5
bekomme,5
letzte,5
zuviel,5
online,5
versuche,5
ab,5
wert,5
wechsel,5
probleme,5
portal,5
erhalten,5
anfragen,5
abschlagszahlungen,5
unfassbar,5
firma,5
eigentlich,5
mail,5
wirklich,5
hotline,5
hallo,4
stunden,4
kaum,4
unterirdischer,4
servicewüste,4
finger,4
schön,4
reaktion,4
monat,4
verbrauch,4
erreichen,4
wurden,4
fehler,4
wartezeit,4
richtig,4
angerufen,4
seid,4
zeit,4
versucht,4
telefonische,4
pur,4
ganz,4
katastrophal,4
heute,4
stromanbieter,4
grundversorgung,4
null,4
kunde,4
wer,4
tarif,4
abschlagszahlung,4
lieber,4
änderung,4
schlussrechnung,4
eingabe,4
mai,4
bestandskunde,4
abzocke,4
ja,4
anfrage,4
unglaublich,4
beim,4
preiserhöhung,4
danke,3
auszahlung,3
oft,3
schief,3
zahlt,3
kompliziert,3
abraten,3
system,3
angeblich,3
gasvertrag,3
gar,3
deutschland,3
endabrechnung,3
unfähig,3
empfehlenswert,3
bereits,3
warteschleife,3
warten,3
eingehalten,3
zusagen,3
saftladen,3
angabe,3
fehlerhafte,3
überfordert,3
komplett,3
korrektur,3
empfehlung,3
hilfe,3
statt,3
zähler,3
stunde,3
jahres,3
informationen,3
erstmal,3
jahren,3
schlechteste,3
frage,3
wissen,3
erfahrung,3
inkompetent,3
ignoriert,3
jahresrechnung,3
steht,3
rückmeldung,3
mails,3
reagieren,3
zahle,3
