Stars,Company,Words_Headline,Words_Comment
1,Octopus Energy Germany,6.0,38.0
1,Octopus Energy Germany,4.0,45.0
4,Octopus Energy Germany,1.0,22.0
4,Octopus Energy Germany,4.0,19.0
4,Octopus Energy Germany,5.0,27.0
4,Octopus Energy Germany,4.0,15.0
4,Octopus Energy Germany,3.0,14.0
4,Octopus Energy Germany,1.0,14.0
4,Octopus Energy Germany,4.0,15.0
4,Octopus Energy Germany,5.0,10.0
4,Octopus Energy Germany,2.0,7.0
4,Octopus Energy Germany,2.0,14.0
4,Octopus Energy Germany,3.0,7.0
4,Octopus Energy Germany,6.0,0.0
5,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,1.0,6.0
4,Octopus Energy Germany,4.0,0.0
4,Octopus Energy Germany,5.0,0.0
4,Octopus Energy Germany,4.0,0.0
4,Octopus Energy Germany,2.0,2.0
4,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,3.0,2.0
3,Octopus Energy Germany,4.0,61.0
4,Octopus Energy Germany,4.0,44.0
4,Octopus Energy Germany,3.0,7.0
4,Octopus Energy Germany,3.0,3.0
4,Octopus Energy Germany,1.0,13.0
4,Octopus Energy Germany,4.0,10.0
4,Octopus Energy Germany,1.0,0.0
4,Octopus Energy Germany,2.0,7.0
4,Octopus Energy Germany,4.0,5.0
4,Octopus Energy Germany,8.0,19.0
4,Octopus Energy Germany,6.0,30.0
4,Octopus Energy Germany,2.0,5.0
4,Octopus Energy Germany,3.0,1.0
1,Octopus Energy Germany,6.0,14.0
4,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,3.0,5.0
1,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,6.0,17.0
5,Octopus Energy Germany,2.0,12.0
3,Octopus Energy Germany,1.0,7.0
5,Octopus Energy Germany,3.0,4.0
5,Octopus Energy Germany,2.0,12.0
5,Octopus Energy Germany,3.0,9.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,10.0
5,Octopus Energy Germany,6.0,7.0
5,Octopus Energy Germany,5.0,0.0
4,Octopus Energy Germany,5.0,8.0
5,Octopus Energy Germany,6.0,9.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,4.0,14.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,0.0
4,Octopus Energy Germany,2.0,8.0
4,Octopus Energy Germany,1.0,8.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,5.0,56.0
4,Octopus Energy Germany,5.0,44.0
5,Octopus Energy Germany,3.0,14.0
5,Octopus Energy Germany,3.0,9.0
4,Octopus Energy Germany,3.0,17.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,2.0,40.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,3.0,19.0
5,Octopus Energy Germany,5.0,7.0
5,Octopus Energy Germany,2.0,15.0
5,Octopus Energy Germany,2.0,95.0
5,Octopus Energy Germany,4.0,6.0
5,Octopus Energy Germany,4.0,24.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,4.0,6.0
5,Octopus Energy Germany,3.0,12.0
5,Octopus Energy Germany,4.0,12.0
5,Octopus Energy Germany,1.0,20.0
5,Octopus Energy Germany,2.0,30.0
5,Octopus Energy Germany,4.0,29.0
4,Octopus Energy Germany,4.0,8.0
4,Octopus Energy Germany,5.0,5.0
4,Octopus Energy Germany,4.0,6.0
4,Octopus Energy Germany,2.0,14.0
4,Octopus Energy Germany,2.0,8.0
4,Octopus Energy Germany,4.0,20.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,1.0,6.0
5,Octopus Energy Germany,6.0,9.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,5.0,10.0
5,Octopus Energy Germany,1.0,3.0
5,Octopus Energy Germany,6.0,16.0
5,Octopus Energy Germany,1.0,18.0
